name,dataset,default,scoring-clasp
TSSB,FaceAll,23512820.512820512,1030337.0786516854
TSSB,FaceFour,25454545.454545453,877742.946708464
TSSB,FacesUCR,inf,inf
TSSB,FiftyWords,inf,inf
TSSB,Fish,817110.5730427764,26766.0744500846
TSSB,GunPoint,6465517.24137931,715648.854961832
TSSB,Haptics,inf,inf
TSSB,InlineSkate,inf,inf
TSSB,InsectWingbeatSound,inf,inf
TSSB,ItalyPowerDemand,inf,inf
TSSB,LargeKitchenAppliances,inf,inf
TSSB,Lightning2,inf,inf
TSSB,Lightning7,inf,inf
TSSB,Mallat,inf,inf
TSSB,Meat,inf,641221.3740458016
TSSB,MedicalImages,inf,inf
TSSB,MoteStrain,inf,126888.21752265861
TSSB,NonInvasiveFetalECGThorax1,35637.42790737712,778.9119315259901
TSSB,NonInvasiveFetalECGThorax2,20439.595467848965,386.7417249552726
TSSB,OliveOil,7194174.757281553,121555.11811023622
TSSB,OSULeaf,4078431.3725490193,244418.33137485312
TSSB,Plane,11117647.058823528,1135135.1351351351
TSSB,ProximalPhalanxOutlineAgeGroup,4878048.780487805,206611.5702479339
TSSB,ProximalPhalanxTW,40000000.0,260247.23487312946
TSSB,ShapesAll,20000000.0,1130742.0494699646
TSSB,SonyAIBORobotSurface1,2545454.5454545454,105660.37735849057
TSSB,SonyAIBORobotSurface2,4743243.243243244,740506.3291139241
TSSB,SwedishLeaf,inf,inf
TSSB,Symbols,inf,inf
TSSB,SyntheticControl,15000000.0,1254180.602006689
TSSB,ToeSegmentation1,5770833.333333333,91843.50132625995
TSSB,ToeSegmentation2,inf,inf
TSSB,Trace,inf,inf
TSSB,TwoLeadECG,inf,inf
TSSB,UWaveGestureLibraryAll,inf,inf
TSSB,UWaveGestureLibraryX,inf,inf
TSSB,UWaveGestureLibraryY,inf,inf
TSSB,UWaveGestureLibraryZ,inf,inf
TSSB,WordSynonyms,2302884.6153846155,65223.31154684095
TSSB,Yoga,3887.298991550831,17.82463089489913
TSSB,Crop,13728.064939715889,196.95370655458132
TSSB,EOGHorizontalSignal,39653846.15384616,inf
TSSB,EOGVerticalSignal,inf,inf
TSSB,FreezerRegularTrain,49962.371065562875,60.74581718544703
TSSB,Ham,19566666.666666668,993231.8104906937
TSSB,MelbournePedestrian,inf,inf
TSSB,MiddlePhalanxOutlineAgeGroup,119407.13293191293,1557.9345582880846
TSSB,MiddlePhalanxOutlineCorrect,5591549.295774648,44079.276078387826
TSSB,ProximalPhalanxOutlineCorrect,6741573.0337078655,100925.1471825063
TSSB,Strawberry,inf,inf
TSSB,Chinatown,inf,inf
TSSB,DodgerLoopDay,inf,inf
TSSB,Herring,inf,inf
TSSB,MiddlePhalanxTW,2776859.5041322317,20342.677241629834
TSSB,ShapeletSim,2604166.6666666665,57964.29399489914
TSSB,UMD,3461538.461538462,104834.012813046
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_X-Acc,1754.8879707420526,8.51262669278719
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Y-Acc,1756.9513901950013,8.394373503190685
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Z-Acc,1753.4033989377733,8.553647262701018
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_X-Gyro,1825.1682318852586,8.893254451962262
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Y-Gyro,1837.621807528183,8.966538020920273
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Z-Gyro,1827.6676322971884,8.566220764728445
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_X-Mag,2386.1606404446056,11.009965005706801
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Y-Mag,2231.9112446477184,10.271985642824038
PAMAP,PAMAP_Indoor_Subject1_IMU_Shoe_Z-Mag,2593.8895839245897,10.770019544670085
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_X-Acc,1746.0652001093495,8.647337078271631
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Y-Acc,1793.9467771161192,8.781822639721122
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Z-Acc,1735.7578567071007,8.816113538341252
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_X-Gyro,1804.8257856162293,8.66894296000133
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Y-Gyro,1768.802156335949,8.657784099345557
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Z-Gyro,1806.5646688594975,8.814483107684776
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_X-Mag,2121.5003337449048,8.831037859186454
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Y-Mag,2319.019845774455,9.69380133106752
PAMAP,PAMAP_Indoor_Subject2_IMU_Shoe_Z-Mag,2211.1525532534297,10.093978568425085
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_X-Acc,1835.6942354855505,8.788535109266736
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Y-Acc,1751.0629674938202,8.336858088675863
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Z-Acc,1810.4043503081066,8.70170662272702
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_X-Gyro,1977.1111284118458,9.976731573152769
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Y-Gyro,1834.1645222548782,8.709134804172527
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Z-Gyro,1772.910818462153,8.433172445117336
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_X-Mag,1984.7633379219458,8.585121137361597
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Y-Mag,2394.292917809478,10.030980994583645
PAMAP,PAMAP_Indoor_Subject3_IMU_Shoe_Z-Mag,2545.509254636758,11.83141862063665
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_X-Acc,2611.4427795294964,7.422748681896124
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Y-Acc,2596.882974759958,7.486617247693258
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Z-Acc,2539.6119516038716,7.235375153587092
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_X-Gyro,2617.410677207898,7.624232768058057
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Y-Gyro,2568.6987093239154,7.129669339310181
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Z-Gyro,2539.596877861429,7.099549668339009
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_X-Mag,2567.980050059521,7.603441565372978
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Y-Mag,2508.119271277789,7.149734084694722
PAMAP,PAMAP_Indoor_Subject4_IMU_Shoe_Z-Mag,2640.143875808863,7.371253314310853
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_X-Acc,1761.5354278953596,8.332288469764524
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Y-Acc,1816.6624953962064,8.699027683555814
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Z-Acc,1705.4757650995377,8.241524650126477
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_X-Gyro,1841.2045907260028,8.959843513356912
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Y-Gyro,1735.1913642618374,8.263119663505792
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Z-Gyro,1707.007435373695,8.129969030171354
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_X-Mag,2359.1223540133383,9.48403977312073
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Y-Mag,2512.2367693090982,9.6229887676255
PAMAP,PAMAP_Indoor_Subject5_IMU_Shoe_Z-Mag,2216.531157928332,9.705296285344925
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_X-Acc,2000.283496161898,9.524969230820899
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Y-Acc,2062.010174232085,9.726644191115925
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Z-Acc,1910.4369500410119,9.42029092022795
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_X-Gyro,1834.1568598208087,9.085968960651845
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Y-Gyro,2104.1332828025293,9.817902314843709
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Z-Gyro,2080.685887223876,9.910074112984892
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_X-Mag,2452.1521773516224,10.95632688771134
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Y-Mag,2458.7985015335385,10.905982374890797
PAMAP,PAMAP_Indoor_Subject6_IMU_Shoe_Z-Mag,2666.988117037819,12.225044883682521
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_X-Acc,1775.013253921054,8.593980158350634
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Y-Acc,1865.6207352275437,8.896872859293662
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Z-Acc,1729.047036229619,8.478855616308447
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_X-Gyro,1768.0161984136735,8.5653014584751
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Y-Gyro,1785.0481379223827,8.435628727787018
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Z-Gyro,1799.4270818961734,8.731068892773196
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_X-Mag,2093.718473501567,9.563649120054778
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Y-Mag,2257.491295562933,10.28849587954786
PAMAP,PAMAP_Indoor_Subject7_IMU_Shoe_Z-Mag,2237.0317251270453,10.052517276179952
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_X-Acc,2172.240527780262,10.413616708745575
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Y-Acc,2109.738695868334,10.296750686034711
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Z-Acc,2018.0321708885983,9.861691393582568
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_X-Gyro,1930.91236650186,9.278509521088948
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Y-Gyro,1839.2283863159978,9.07257758152487
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Z-Gyro,2024.4668014621448,9.367009275145868
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_X-Mag,2812.7504833834087,13.155011715925538
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Y-Mag,2464.301312214309,11.13048462139332
PAMAP,PAMAP_Indoor_Subject8_IMU_Shoe_Z-Mag,2558.9613930916767,11.397531745388124
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_X-Acc,2631.163362694864,7.03225253779645
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Y-Acc,2659.330943586375,7.025175913424742
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Z-Acc,2777.8610240074154,7.016727453267004
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_X-Gyro,2725.6482792796023,7.097934000931963
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Y-Gyro,2648.6544027492896,7.078817706400224
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Z-Gyro,2796.6626940881533,7.034613895086104
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_X-Mag,2656.6021375855216,7.089051858549575
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Y-Mag,2718.441027572898,6.982074304133025
PAMAP,PAMAP_Outdoor_Subject2_IMU_Shoe_Z-Mag,2661.5292221644804,7.014140283100887
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_X-Acc,2171.6562675023233,11.93610740290731
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Y-Acc,2116.157503289925,11.86843839732963
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Z-Acc,2091.075279379244,11.114567076595549
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_X-Gyro,2656.81952031828,12.9024841749895
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Y-Gyro,2454.397926394291,13.848917707464995
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Z-Gyro,2390.350137276193,11.506106866104117
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_X-Mag,4761.425350170429,25.411653384397262
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Y-Mag,2962.210984297941,14.43880736215256
PAMAP,PAMAP_Outdoor_Subject3_IMU_Shoe_Z-Mag,4336.955538454486,25.511784610004312
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_X-Acc,2743.321657232373,13.685106560062373
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Y-Acc,2719.5497762135474,13.558982838004484
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Z-Acc,2489.7332124955515,12.615320281498256
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_X-Gyro,2917.5351412840378,15.378859597322629
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Y-Gyro,2838.3065942976345,14.309801678316296
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Z-Gyro,2904.976202966886,14.142698092864679
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_X-Mag,6123.812658140146,55.6604853419204
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Y-Mag,4373.073539815136,16.571478482085457
PAMAP,PAMAP_Outdoor_Subject4_IMU_Shoe_Z-Mag,5514.577295330838,24.20704143678457
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_X-Acc,2243.0979157737565,11.73946740202028
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Y-Acc,2706.509279916298,12.137879872432205
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Z-Acc,2746.624715453323,13.907099218231144
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_X-Gyro,2735.538584832241,13.984748667729733
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Y-Gyro,2905.071768053011,14.504826959047222
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Z-Gyro,2778.9328931001264,13.176127663556812
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_X-Mag,5410.850040766171,34.19488168776104
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Y-Mag,3881.7448670896683,19.88355501787549
PAMAP,PAMAP_Outdoor_Subject5_IMU_Shoe_Z-Mag,6302.940764650546,35.7272032002819
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_X-Acc,2349.9518834875194,11.958807432304688
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Y-Acc,2256.3566481071953,11.736694397492588
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Z-Acc,2628.6192437137197,12.891402006672006
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_X-Gyro,2732.9294818079916,13.615836599035454
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Y-Gyro,2466.1674081915526,12.674862772172737
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Z-Gyro,2259.252629112676,10.838790218221517
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_X-Mag,5444.379231427591,28.569865538618632
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Y-Mag,3856.374958577575,19.896635280329246
PAMAP,PAMAP_Outdoor_Subject6_IMU_Shoe_Z-Mag,5565.792985777485,31.203965743123817
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_X-Acc,2563.119430211347,11.775456975382472
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Y-Acc,2250.12225012225,10.775475101420401
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Z-Acc,2266.670776677141,10.988085913963285
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_X-Gyro,3481.9634626883408,17.302716915038612
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Y-Gyro,2639.138518529987,16.669370887088206
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Z-Gyro,3144.3050031189846,13.199304861013399
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_X-Mag,3169.4411178825544,15.595986903296822
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Y-Mag,3400.0708990305325,15.947782990043292
PAMAP,PAMAP_Outdoor_Subject7_IMU_Shoe_Z-Mag,3531.4247079196684,16.921711540471904
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_X-Acc,2354.7860493197504,12.40306784909537
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Y-Acc,2631.7191517108326,13.50317249766894
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Z-Acc,2648.6903549587823,13.586995189444943
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_X-Gyro,2878.140960129617,15.20383864069647
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Y-Gyro,2893.7785633211174,14.60279608552917
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Z-Gyro,2413.4620309503343,12.229045909102215
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_X-Mag,6495.226312175799,36.77296459848563
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Y-Mag,5854.751650779005,25.82482213165824
PAMAP,PAMAP_Outdoor_Subject8_IMU_Shoe_Z-Mag,6623.827187348689,37.95798803989477
mHealth,mHealth_Subject1_Ankle_X-Acc,6310.42617892159,44.8044459298586
mHealth,mHealth_Subject1_Ankle_Y-Acc,11861.5889416835,130.15093201077232
mHealth,mHealth_Subject1_Ankle_Z-Acc,11189.260549378885,109.48344723515076
mHealth,mHealth_Subject1_Ankle_X-Gyro,7298.903525154179,53.41107311431382
mHealth,mHealth_Subject1_Ankle_Y-Gyro,9202.409045957103,99.62728281838656
mHealth,mHealth_Subject1_Ankle_Z-Gyro,12105.922519893169,121.86555818229832
mHealth,mHealth_Subject1_Ankle_X-Mag,17870.96970867078,213.66581631227405
mHealth,mHealth_Subject1_Ankle_Y-Mag,9221.274944683886,84.48891269778474
mHealth,mHealth_Subject1_Ankle_Z-Mag,8994.389693811276,75.86033020616696
mHealth,mHealth_Subject2_Ankle_X-Acc,5634.767715692571,28.73041034694534
mHealth,mHealth_Subject2_Ankle_Y-Acc,6572.3687496184975,54.88024238989956
mHealth,mHealth_Subject2_Ankle_Z-Acc,5549.178446098849,37.59188771041187
mHealth,mHealth_Subject2_Ankle_X-Gyro,4734.797000175896,32.27670807663304
mHealth,mHealth_Subject2_Ankle_Y-Gyro,7618.598368300867,45.56919070248463
mHealth,mHealth_Subject2_Ankle_Z-Gyro,5684.883508846031,33.91951962964757
mHealth,mHealth_Subject2_Ankle_X-Mag,11373.479166866724,145.66776753815202
mHealth,mHealth_Subject2_Ankle_Y-Mag,5517.6397694927255,38.82924048128194
mHealth,mHealth_Subject2_Ankle_Z-Mag,6084.913415168786,48.29928527334239
mHealth,mHealth_Subject3_Ankle_X-Acc,9084.93308271449,72.30415648761203
mHealth,mHealth_Subject3_Ankle_Y-Acc,7702.908947610203,53.55531694325687
mHealth,mHealth_Subject3_Ankle_Z-Acc,10533.523877575324,90.1742074953882
mHealth,mHealth_Subject3_Ankle_X-Gyro,9691.371720807414,74.91513817269315
mHealth,mHealth_Subject3_Ankle_Y-Gyro,9840.6252607571,110.86078827284625
mHealth,mHealth_Subject3_Ankle_Z-Gyro,11151.139225345674,109.51819269599092
mHealth,mHealth_Subject3_Ankle_X-Mag,13695.554557700943,178.21647619885712
mHealth,mHealth_Subject3_Ankle_Y-Mag,14164.181195828412,51.8931061269903
mHealth,mHealth_Subject3_Ankle_Z-Mag,13555.711368329903,84.46733354796345
mHealth,mHealth_Subject4_Ankle_X-Acc,4269.956802463734,25.416665173811698
mHealth,mHealth_Subject4_Ankle_Y-Acc,6853.5511280966875,49.50941214874478
mHealth,mHealth_Subject4_Ankle_Z-Acc,6123.828640963505,44.985885181906895
mHealth,mHealth_Subject4_Ankle_X-Gyro,7860.623456378077,66.37376138196906
mHealth,mHealth_Subject4_Ankle_Y-Gyro,7189.401493721891,50.42574412371938
mHealth,mHealth_Subject4_Ankle_Z-Gyro,7412.131995031724,55.970099596612236
mHealth,mHealth_Subject4_Ankle_X-Mag,12198.221092757305,128.19221400668306
mHealth,mHealth_Subject4_Ankle_Y-Mag,5220.583237033513,32.99306557261582
mHealth,mHealth_Subject4_Ankle_Z-Mag,11221.36531693496,143.3183305069667
mHealth,mHealth_Subject5_Ankle_X-Acc,11263.927692134132,117.14872825974352
mHealth,mHealth_Subject5_Ankle_Y-Acc,10859.495460681635,123.50865581127927
mHealth,mHealth_Subject5_Ankle_Z-Acc,7775.398252384934,70.69900420139147
mHealth,mHealth_Subject5_Ankle_X-Gyro,12906.623070488935,118.01632315203395
mHealth,mHealth_Subject5_Ankle_Y-Gyro,13249.316009476343,103.76197448703127
mHealth,mHealth_Subject5_Ankle_Z-Gyro,11136.699899285153,117.18741369825487
mHealth,mHealth_Subject5_Ankle_X-Mag,20512.154298869464,419.9333440707223
mHealth,mHealth_Subject5_Ankle_Y-Mag,15636.861112134724,144.06361936343717
mHealth,mHealth_Subject5_Ankle_Z-Mag,20347.404952138913,425.67550452961274
mHealth,mHealth_Subject6_Ankle_X-Acc,21919.19741910894,232.84850762579768
mHealth,mHealth_Subject6_Ankle_Y-Acc,20417.02591672161,127.12052067428468
mHealth,mHealth_Subject6_Ankle_Z-Acc,17242.210086733056,178.09092828977023
mHealth,mHealth_Subject6_Ankle_X-Gyro,16154.679615156958,184.8568356849174
mHealth,mHealth_Subject6_Ankle_Y-Gyro,15287.304488168422,162.80423868329814
mHealth,mHealth_Subject6_Ankle_Z-Gyro,16141.805295895505,149.70413387012684
mHealth,mHealth_Subject6_Ankle_X-Mag,31836.649959963222,603.430588618855
mHealth,mHealth_Subject6_Ankle_Y-Mag,13978.835335787207,112.50880629012438
mHealth,mHealth_Subject6_Ankle_Z-Mag,20262.745616187545,207.51394428625932
mHealth,mHealth_Subject7_Ankle_X-Acc,7203.2722072678325,53.50553159689636
mHealth,mHealth_Subject7_Ankle_Y-Acc,7934.481975825693,62.97340824520891
mHealth,mHealth_Subject7_Ankle_Z-Acc,7478.559700971145,58.67378908077239
mHealth,mHealth_Subject7_Ankle_X-Gyro,5525.541899297148,35.77672349845448
mHealth,mHealth_Subject7_Ankle_Y-Gyro,9368.393126252999,71.01609218470527
mHealth,mHealth_Subject7_Ankle_Z-Gyro,9277.853468800702,66.93337492153604
mHealth,mHealth_Subject7_Ankle_X-Mag,11480.31089645834,148.84148028203444
mHealth,mHealth_Subject7_Ankle_Y-Mag,7003.9730007708795,51.510918260430294
mHealth,mHealth_Subject7_Ankle_Z-Mag,8339.257542410844,62.8598272282426
mHealth,mHealth_Subject8_Ankle_X-Acc,17172.14909456222,147.65583733157035
mHealth,mHealth_Subject8_Ankle_Y-Acc,12768.532990101437,134.40265676294516
mHealth,mHealth_Subject8_Ankle_Z-Acc,16898.95205406529,169.92630647034227
mHealth,mHealth_Subject8_Ankle_X-Gyro,8584.062363990823,55.18339397706665
mHealth,mHealth_Subject8_Ankle_Y-Gyro,10335.05522240895,70.55193512049803
mHealth,mHealth_Subject8_Ankle_Z-Gyro,16246.91093249626,162.20568588060138
mHealth,mHealth_Subject8_Ankle_X-Mag,31933.01462909917,510.07595895948305
mHealth,mHealth_Subject8_Ankle_Y-Mag,16257.846757161462,162.10164500683211
mHealth,mHealth_Subject8_Ankle_Z-Mag,15970.332323967952,187.43116900716643
mHealth,mHealth_Subject9_Ankle_X-Acc,13230.327234355564,65.06366197319674
mHealth,mHealth_Subject9_Ankle_Y-Acc,17000.618582209576,195.71690245671033
mHealth,mHealth_Subject9_Ankle_Z-Acc,12459.109141418903,129.53912968588588
mHealth,mHealth_Subject9_Ankle_X-Gyro,15347.432564040706,138.0394246929523
mHealth,mHealth_Subject9_Ankle_Y-Gyro,16612.10535732419,184.37770110729127
mHealth,mHealth_Subject9_Ankle_Z-Gyro,15090.908292224363,207.19983541744455
mHealth,mHealth_Subject9_Ankle_X-Mag,20643.571793408046,372.7777815153698
mHealth,mHealth_Subject9_Ankle_Y-Mag,17830.209733590073,216.6349182646808
mHealth,mHealth_Subject9_Ankle_Z-Mag,14850.646262914452,202.99949270808494
mHealth,mHealth_Subject10_Ankle_X-Acc,5744.167172485286,40.46712831384071
mHealth,mHealth_Subject10_Ankle_Y-Acc,8363.267160336914,63.38238667251839
mHealth,mHealth_Subject10_Ankle_Z-Acc,8148.407928311422,63.580466902941666
mHealth,mHealth_Subject10_Ankle_X-Gyro,8955.271489063087,58.05135406463382
mHealth,mHealth_Subject10_Ankle_Y-Gyro,8734.269759049264,63.31142903216332
mHealth,mHealth_Subject10_Ankle_Z-Gyro,9360.829554547881,64.7090262311454
